# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356435,1,1,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356446,1,1,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
356446,81,2,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356523,1,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
356523,169,6,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
356523,220,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356531,1,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356563,1,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356568,1,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356569,1,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
356569,248,6,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356570,1,6,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
356570,14,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356576,1,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356578,1,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356580,1,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356582,1,0,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/0.00
356582,6,6,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
356582,29,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356614,1,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356615,1,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356619,1,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356810,1,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356811,1,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356812,1,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356813,1,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356814,1,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356815,1,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356824,1,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356908,1,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356919,1,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356937,1,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356946,1,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356947,1,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356948,1,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356949,1,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356951,1,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356954,1,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356955,1,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356956,1,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356968,1,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356969,1,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356970,1,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356998,1,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356999,1,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357000,1,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357001,1,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
